Y;X;Gray;Y;X;Blur
240;176;82;240;176;79
240;177;81;240;177;75
240;178;69;240;178;71
240;179;50;240;179;67
240;180;51;240;180;63
240;181;50;240;181;61
240;182;52;240;182;60
240;183;55;240;183;59
240;184;57;240;184;60
240;185;61;240;185;60
240;186;64;240;186;60
240;187;64;240;187;61
240;188;62;240;188;61
240;189;63;240;189;60
240;190;62;240;190;60
240;191;60;240;191;59
240;192;57;240;192;57
240;193;56;240;193;56
240;194;52;240;194;55
240;195;49;240;195;53
240;196;48;240;196;53
240;197;45;240;197;52
240;198;46;240;198;52
240;199;46;240;199;52
240;200;47;240;200;52
240;201;49;240;201;53
240;202;49;240;202;53
240;203;48;240;203;53
240;204;53;240;204;54
240;205;55;240;205;54
240;206;54;240;206;53
240;207;49;240;207;53
240;208;48;240;208;52
240;209;45;240;209;52
240;210;45;240;210;52
240;211;45;240;211;52
240;212;45;240;212;53
240;213;45;240;213;55
240;214;49;240;214;57
240;215;55;240;215;60
240;216;61;240;216;64
240;217;66;240;217;69
240;218;81;240;218;74
240;219;87;240;219;78
240;220;87;240;220;81
240;221;86;240;221;83
240;222;82;240;222;83
240;223;79;240;223;82
240;224;78;240;224;79
240;225;79;240;225;75
240;226;76;240;226;71
240;227;60;240;227;65
240;228;32;240;228;60
240;229;40;240;229;56
240;230;41;240;230;53
240;231;40;240;231;51
240;232;40;240;232;51
240;233;43;240;233;51
240;234;45;240;234;51
240;235;47;240;235;52
240;236;49;240;236;53
240;237;53;240;237;53
240;238;55;240;238;54
240;239;54;240;239;54
240;240;51;240;240;54
240;241;50;240;241;54
240;242;51;240;242;54
240;243;54;240;243;54
240;244;54;240;244;53
240;245;52;240;245;53
240;246;51;240;246;53
240;247;51;240;247;53
240;248;54;240;248;52
240;249;54;240;249;52
240;250;54;240;250;52
240;251;56;240;251;51
240;252;52;240;252;51
240;253;49;240;253;51
240;254;50;240;254;50
240;255;53;240;255;50
240;256;49;240;256;50
240;257;50;240;257;50
240;258;48;240;258;49
240;259;46;240;259;50
240;260;44;240;260;51
240;261;45;240;261;53
240;262;48;240;262;56
240;263;55;240;263;60
240;264;66;240;264;64
240;265;71;240;265;69
240;266;82;240;266;73
240;267;83;240;267;76
240;268;83;240;268;79
240;269;81;240;269;79
240;270;80;240;270;79
240;271;80;240;271;77
240;272;77;240;272;74
240;273;73;240;273;70
240;274;69;240;274;66
240;275;54;240;275;61
240;276;50;240;276;58
240;277;51;240;277;55
240;278;53;240;278;52
240;279;52;240;279;51
240;280;50;240;280;49
240;281;48;240;281;48
240;282;46;240;282;47
240;283;44;240;283;46
240;284;43;240;284;45
240;285;42;240;285;45
240;286;43;240;286;45
240;287;45;240;287;45
240;288;47;240;288;46
240;289;47;240;289;46
240;290;48;240;290;46
240;291;46;240;291;46
240;292;45;240;292;46
240;293;44;240;293;46
240;294;43;240;294;46
240;295;43;240;295;45
240;296;44;240;296;45
240;297;52;240;297;45
240;298;49;240;298;45
240;299;50;240;299;45
240;300;50;240;300;45
240;301;49;240;301;46
240;302;49;240;302;46
240;303;46;240;303;47
240;304;48;240;304;47
240;305;50;240;305;48
240;306;49;240;306;48
240;307;49;240;307;49
240;308;49;240;308;50
240;309;49;240;309;52
240;310;49;240;310;54
240;311;50;240;311;57
240;312;54;240;312;61
240;313;57;240;313;65
240;314;69;240;314;70
240;315;77;240;315;74
240;316;79;240;316;78
240;317;82;240;317;80
240;318;84;240;318;82
240;319;85;240;319;82
240;320;87;240;320;81
240;321;88;240;321;78
240;322;91;240;322;74
240;323;71;240;323;69
240;324;59;240;324;63
240;325;56;240;325;59
240;326;54;240;326;55
240;327;56;240;327;52
240;328;56;240;328;50
240;329;51;240;329;49
240;330;51;240;330;48
240;331;51;240;331;47
240;332;51;240;332;47
240;333;49;240;333;46
240;334;47;240;334;46
240;335;47;240;335;46
240;336;48;240;336;46
240;337;48;240;337;46
240;338;50;240;338;46
240;339;49;240;339;46
240;340;48;240;340;46
240;341;52;240;341;46
240;342;52;240;342;47
240;343;52;240;343;47
240;344;48;240;344;47
240;345;49;240;345;47
240;346;49;240;346;47
240;347;49;240;347;47
240;348;50;240;348;48
240;349;51;240;349;48
240;350;50;240;350;48
240;351;49;240;351;48
240;352;49;240;352;48
240;353;49;240;353;48
240;354;48;240;354;48
240;355;49;240;355;48
240;356;48;240;356;48
240;357;49;240;357;48
240;358;50;240;358;49
240;359;48;240;359;50
240;360;48;240;360;51
240;361;48;240;361;54
240;362;50;240;362;58
240;363;49;240;363;63
240;364;64;240;364;69
240;365;89;240;365;76
240;366;93;240;366;82
240;367;93;240;367;87
240;368;96;240;368;90
240;369;97;240;369;92
240;370;97;240;370;91
240;371;98;240;371;89
240;372;94;240;372;85
240;373;97;240;373;79
240;374;76;240;374;73
240;375;58;240;375;66
240;376;56;240;376;60
240;377;53;240;377;56
240;378;52;240;378;53
240;379;52;240;379;51
240;380;52;240;380;51
240;381;52;240;381;50
240;382;52;240;382;50
240;383;51;240;383;50
240;384;50;240;384;49
240;385;49;240;385;49
240;386;49;240;386;49
240;387;50;240;387;49
240;388;50;240;388;49
240;389;48;240;389;49
240;390;48;240;390;49
