Y;X;Gray
240;171;82
240;172;84
240;173;84
240;174;83
240;175;81
240;176;78
240;177;75
240;178;70
240;179;66
240;180;63
240;181;60
240;182;59
240;183;59
240;184;59
240;185;59
240;186;60
240;187;60
240;188;60
240;189;60
240;190;59
240;191;58
240;192;57
240;193;55
240;194;54
240;195;53
240;196;52
240;197;52
240;198;51
240;199;51
240;200;52
240;201;52
240;202;53
240;203;53
240;204;53
240;205;53
240;206;53
240;207;52
240;208;52
240;209;52
240;210;51
240;211;52
240;212;53
240;213;54
240;214;56
240;215;60
240;216;64
240;217;68
240;218;73
240;219;78
240;220;81
240;221;82
240;222;83
240;223;81
240;224;79
240;225;75
240;226;70
240;227;65
240;228;60
240;229;56
240;230;53
240;231;51
240;232;50
240;233;50
240;234;51
240;235;51
240;236;52
240;237;53
240;238;53
240;239;53
240;240;53
240;241;53
240;242;53
240;243;53
240;244;53
240;245;53
240;246;52
240;247;52
240;248;52
240;249;52
240;250;51
240;251;51
240;252;51
240;253;50
240;254;50
240;255;50
240;256;49
240;257;49
240;258;49
240;259;49
240;260;50
240;261;52
240;262;55
240;263;59
240;264;64
240;265;68
240;266;73
240;267;76
240;268;78
240;269;79
240;270;78
240;271;76
240;272;73
240;273;70
240;274;65
240;275;61
240;276;57
240;277;54
240;278;52
240;279;50
240;280;49
240;281;48
240;282;47
240;283;46
240;284;45
240;285;45
240;286;45
240;287;45
240;288;45
240;289;45
240;290;46
240;291;46
240;292;46
240;293;46
240;294;45
240;295;45
240;296;45
240;297;44
240;298;44
240;299;45
240;300;45
240;301;45
240;302;46
240;303;46
240;304;47
240;305;47
240;306;48
240;307;49
240;308;50
240;309;51
240;310;53
240;311;56
240;312;60
240;313;65
240;314;69
240;315;74
240;316;77
240;317;80
240;318;81
240;319;81
240;320;80
240;321;77
240;322;73
240;323;68
240;324;63
240;325;58
240;326;54
240;327;51
240;328;49
240;329;48
240;330;47
240;331;47
240;332;46
240;333;46
240;334;45
240;335;45
240;336;45
240;337;45
240;338;45
240;339;45
240;340;46
240;341;46
240;342;46
240;343;46
240;344;46
240;345;46
240;346;47
240;347;47
240;348;47
240;349;47
240;350;47
240;351;47
240;352;47
240;353;47
240;354;47
240;355;47
240;356;48
240;357;48
240;358;48
240;359;49
240;360;51
240;361;54
240;362;57
240;363;63
240;364;69
240;365;75
240;366;81
240;367;86
240;368;90
240;369;91
240;370;91
240;371;89
240;372;85
240;373;79
240;374;72
240;375;65
240;376;60
